Номер,Тип,Модель,Типоразмер,Диаметр ММ,Производительность м3/ч,Давление(па),Мощность(ВТ),Уровень шума,Цена в рублях
237,ВЦ,ВЦ 14-46-5-АИР160S4-04,АИР160S4,500,8706 - 14223,2188 - 2467,15000,88,72200
238,ВЦ,ВЦ 14-46-5-АИР160М4,АИР160М4,500,9164 - 16692,2149 - 2508,18500,80,96800
239,ВЦ,ВЦ 14-46-5-АИР160М4-01,АИР160М4,500,9635 - 17391,2264 - 2647,18500,87,97300
240,ВЦ,ВЦ 14-46-5-АИР160М4-02,АИР160М4,500,8250 - 15611,2000 - 2332,18500,82,83800
241,ВЦ,ВЦ 14-46-5-АИР160М4-03,АИР160М4,500,10076 - 18561,2396 - 2844,18500,83,87100
242,ВЦ,ВЦ 14-46-5-АИР160М4-04,АИР160М4,500,8482 - 16222,2156 - 2527,18500,87,98200
243,ВЦ,ВЦ 14-46-5-АИР180S4,АИР180S4,500,9270 - 20207,2170 - 2431,22000,80,96700
244,ВЦ,ВЦ 14-46-5-АИР180S4-01,АИР180S4,500,9536 - 21524,2266 - 2638,22000,88,109500
245,ВЦ,ВЦ 14-46-5-АИР180S4-02,АИР180S4,500,8513 - 18367,2013 - 2275,22000,79,111100
246,ВЦ,ВЦ 14-46-5-АИР180S4-03,АИР180S4,500,9977 - 22660,2433 - 2875,22000,86,80500
247,ВЦ,ВЦ 14-46-5-АИР180S4-04,АИР180S4,500,8514 - 19112,2085 - 2465,22000,86,109900
248,ВЦ,ВЦ 14-46-5-АИР180М4,АИР180М4,500,8731 - 23510,2195 - 2336,30000,92,118900
249,ВЦ,ВЦ 14-46-5-АИР180М4-01,АИР180М4,500,9595 - 24332,2346 - 2475,30000,92,107900
250,ВЦ,ВЦ 14-46-5-АИР180М4-02,АИР180М4,500,8175 - 21644,2022 - 2146,30000,94,130800
251,ВЦ,ВЦ 14-46-5-АИР180М4-03,АИР180М4,500,9922 - 25232,2472 - 2696,30000,85,112400
252,ВЦ,ВЦ 14-46-5-АИР180М4-04,АИР180М4,500,8909 - 21793,2191 - 2349,30000,86,125500
253,ВЦ,ВЦ 14-46-63-АИР132М8,АИР132М8,630,9320 - 13007,878 - 1000,5500,77,33900
254,ВЦ,ВЦ 14-46-63-АИР132М8-01,АИР132М8,630,9690 - 13555,958 - 1030,5500,72,42700
255,ВЦ,ВЦ 14-46-63-АИР132М8-02,АИР132М8,630,8350 - 12168,815 - 925,5500,78,34200
256,ВЦ,ВЦ 14-46-63-АИР132М8-03,АИР132М8,630,9996 - 14757,1017 - 1103,5500,80,37400
257,ВЦ,ВЦ 14-46-63-АИР132М8-04,АИР132М8,630,8736 - 12639,855 - 954,5500,78,35800
258,ВЦ,ВЦ 14-46-63-АИР160S8,АИР160S8,630,9439 - 17377,916 - 1024,7500,84,43100
259,ВЦ,ВЦ 14-46-63-АИР160S8-01,АИР160S8,630,9820 - 17361,948 - 1105,7500,84,45900
260,ВЦ,ВЦ 14-46-63-АИР160S8-02,АИР160S8,630,8547 - 15941,842 - 957,7500,78,41200
261,ВЦ,ВЦ 14-46-63-АИР160S8-03,АИР160S8,630,10592 - 18848,973 - 1189,7500,79,48500
262,ВЦ,ВЦ 14-46-63-АИР160S8-04,АИР160S8,630,8901 - 16710,859 - 1018,7500,80,40200
263,ВЦ,ВЦ 14-46-63-АИР160М8,АИР160М8,630,9355 - 22676,897 - 1014,11000,79,70300
264,ВЦ,ВЦ 14-46-63-АИР160М8-01,АИР160М8,630,9864 - 24671,928 - 1059,11000,85,70800
265,ВЦ,ВЦ 14-46-63-АИР160М8-02,АИР160М8,630,8228 - 20612,825 - 962,11000,81,67800
266,ВЦ,ВЦ 14-46-63-АИР160М8-03,АИР160М8,630,10263 - 25139,1005 - 1168,11000,85,54100
267,ВЦ,ВЦ 14-46-63-АИР160М8-04,АИР160М8,630,8817 - 21679,854 - 963,11000,83,59000
268,ВЦ,ВЦ 14-46-63-АИР160S6,АИР160S6,630,12038 - 15028,1586 - 1730,11000,80,53300
269,ВЦ,ВЦ 14-46-63-АИР160S6-01,АИР160S6,630,13000 - 15639,1677 - 1785,11000,87,52600
270,ВЦ,ВЦ 14-46-63-АИР160S6-02,АИР160S6,630,11290 - 13596,1432 - 1518,11000,85,70100
271,ВЦ,ВЦ 14-46-63-АИР160S6-03,АИР160S6,630,13923 - 16455,1763 - 1886,11000,87,56200
272,ВЦ,ВЦ 14-46-63-АИР160S6-04,АИР160S6,630,12262 - 14716,1529 - 1629,11000,84,69000
273,ВЦ,ВЦ 14-46-63-АИР160М6,АИР160М6,630,12010 - 19361,1567 - 1778,15000,82,62600
274,ВЦ,ВЦ 14-46-63-АИР160М6-01,АИР160М6,630,13171 - 20347,1610 - 1931,15000,78,88500
275,ВЦ,ВЦ 14-46-63-АИР160М6-02,АИР160М6,630,11482 - 18298,1489 - 1683,15000,81,79600
276,ВЦ,ВЦ 14-46-63-АИР160М6-03,АИР160М6,630,13654 - 22019,1782 - 2038,15000,88,81800
277,ВЦ,ВЦ 14-46-63-АИР160М6-04,АИР160М6,630,11671 - 18458,1544 - 1698,15000,85,62900
278,ВЦ,ВЦ 14-46-63-АИР180М6,АИР180М6,630,12200 - 23469,1619 - 1801,18500,84,80100
279,ВЦ,ВЦ 14-46-63-АИР180М6-01,АИР180М6,630,12630 - 25260,1706 - 1915,18500,82,102900
280,ВЦ,ВЦ 14-46-63-АИР180М6-02,АИР180М6,630,11151 - 22510,1452 - 1705,18500,83,102000
281,ВЦ,ВЦ 14-46-63-АИР180М6-03,АИР180М6,630,13750 - 26195,1797 - 2005,18500,88,99200
282,ВЦ,ВЦ 14-46-63-АИР180М6-04,АИР180М6,630,12275 - 23933,1561 - 1751,18500,84,74500
283,ВЦ,ВЦ 14-46-63-АИР200М6,АИР200М6,630,12327 - 27924,1596 - 1819,22000,87,104900
284,ВЦ,ВЦ 14-46-63-АИР200М6-01,АИР200М6,630,13022 - 29173,1676 - 1887,22000,87,125900
285,ВЦ,ВЦ 14-46-63-АИР200М6-02,АИР200М6,630,11358 - 26402,1429 - 1613,22000,85,127000
286,ВЦ,ВЦ 14-46-63-АИР200М6-03,АИР200М6,630,13612 - 31187,1731 - 2070,22000,82,130600
287,ВЦ,ВЦ 14-46-63-АИР200М6-04,АИР200М6,630,11656 - 26728,1536 - 1734,22000,83,117000
288,ВЦ,ВЦ 14-46-8-АИР180М8,АИР180М8,800,19277 - 23102,1423 - 1552,15000,80,98500
289,ВЦ,ВЦ 14-46-8-АИР180М8-01,АИР180М8,800,20135 - 24098,1512 - 1649,15000,82,70600
290,ВЦ,ВЦ 14-46-8-АИР180М8-02,АИР180М8,800,17344 - 20630,1351 - 1438,15000,79,101600
291,ВЦ,ВЦ 14-46-8-АИР180М8-03,АИР180М8,800,21111 - 25807,1616 - 1668,15000,82,75700
292,ВЦ,ВЦ 14-46-8-АИР180М8-04,АИР180М8,800,18012 - 22281,1383 - 1499,15000,88,90400
293,ВЦ,ВЦ 14-46-8-АИР200М8,АИР200М8,800,19537 - 26758,1416 - 1668,18500,87,92600
294,ВЦ,ВЦ 14-46-8-АИР200М8-01,АИР200М8,800,20345 - 28969,1509 - 1733,18500,81,97500
295,ВЦ,ВЦ 14-46-8-АИР200М8-02,АИР200М8,800,17110 - 25908,1276 - 1522,18500,80,123700
296,ВЦ,ВЦ 14-46-8-АИР200М8-03,АИР200М8,800,21331 - 31352,1564 - 1854,18500,80,85000
297,ВЦ,ВЦ 14-46-8-АИР200М8-04,АИР200М8,800,18751 - 26256,1372 - 1541,18500,78,89500
298,ВЦ,ВЦ 14-46-8-АИР200L8,АИР200L8,800,18910 - 31258,1393 - 1635,22000,83,120300
299,ВЦ,ВЦ 14-46-8-АИР200L8-01,АИР200L8,800,19482 - 33608,1542 - 1675,22000,88,120600
300,ВЦ,ВЦ 14-46-8-АИР200L8-02,АИР200L8,800,17436 - 30260,1281 - 1507,22000,84,116300
301,ВЦ,ВЦ 14-46-8-АИР200L8-03,АИР200L8,800,20779 - 36297,1596 - 1881,22000,83,124600
302,ВЦ,ВЦ 14-46-8-АИР200L8-04,АИР200L8,800,17950 - 30621,1398 - 1595,22000,83,114200
303,ВЦ,ВЦ 14-46-8-АИР225М8,АИР225М8,800,19111 - 40495,1430 - 1623,30000,95,128400
304,ВЦ,ВЦ 14-46-8-АИР225М8-01,АИР225М8,800,20135 - 44026,1506 - 1749,30000,90,147800
305,ВЦ,ВЦ 14-46-8-АИР225М8-02,АИР225М8,800,17195 - 37355,1312 - 1492,30000,85,139800
306,ВЦ,ВЦ 14-46-8-АИР225М8-03,АИР225М8,800,21041 - 45245,1645 - 1846,30000,91,125700
307,ВЦ,ВЦ 14-46-8-АИР225М8-04,АИР225М8,800,18797 - 38799,1354 - 1604,30000,86,153800
308,ВЦ,ВЦ 14-46-8-АИР225М6,АИР225М6,800,24627 - 31115,2573 - 2688,37000,89,202000
309,ВЦ,ВЦ 14-46-8-АИР225М6-01,АИР225М6,800,26406 - 32399,2798 - 2810,37000,88,183600
310,ВЦ,ВЦ 14-46-8-АИР225М6-02,АИР225М6,800,22339 - 28653,2351 - 2554,37000,87,200200
311,ВЦ,ВЦ 14-46-8-АИР225М6-03,АИР225М6,800,27193 - 34837,2845 - 3039,37000,87,197500
312,ВЦ,ВЦ 14-46-8-АИР225М6-04,АИР225М6,800,24257 - 30926,2570 - 2686,37000,94,180700
313,ВЦ,ВЦ 14-46-8-АИР250S6,АИР250S6,800,24660 - 37350,2630 - 2769,45000,88,232400
314,ВЦ,ВЦ 14-46-8-АИР250S6-01,АИР250S6,800,25430 - 38477,2649 - 3059,45000,93,228700
315,ВЦ,ВЦ 14-46-8-АИР250S6-02,АИР250S6,800,21958 - 34532,2460 - 2558,45000,92,192300
316,ВЦ,ВЦ 14-46-8-АИР250S6-03,АИР250S6,800,27308 - 41044,2889 - 3234,45000,93,223700
317,ВЦ,ВЦ 14-46-8-АИР250S6-04,АИР250S6,800,24312 - 35148,2561 - 2690,45000,85,197000
318,ВР,ВР 80-75-25-АИР56А4,АИР56А4,250,454 - 849,109 - 169,120,59,2100
319,ВР,ВР 80-75-25-АИР56А4-01,АИР56А4,250,461 - 902,116 - 179,120,62,1800
320,ВР,ВР 80-75-25-АИР56А4-02,АИР56А4,250,416 - 795,101 - 153,120,61,2400
321,ВР,ВР 80-75-25-АИР56А4-03,АИР56А4,250,503 - 923,121 - 183,120,64,1900
322,ВР,ВР 80-75-25-АИР56А4-04,АИР56А4,250,438 - 843,110 - 167,120,63,1800
323,ВР,ВР 80-75-25-АИР63А4,АИР63А4,250,409 - 875,131 - 172,250,63,3300
324,ВР,ВР 80-75-25-АИР63А4-01,АИР63А4,250,422 - 957,131 - 185,250,58,3800
325,ВР,ВР 80-75-25-АИР63А4-02,АИР63А4,250,365 - 859,120 - 164,250,63,2700
326,ВР,ВР 80-75-25-АИР63А4-03,АИР63А4,250,449 - 975,141 - 196,250,64,3700
327,ВР,ВР 80-75-25-АИР63А4-04,АИР63А4,250,398 - 867,122 - 176,250,59,3200
328,ВР,ВР 80-75-25-АИР63А2,АИР63А2,250,834 - 1677,308 - 486,370,66,3600
329,ВР,ВР 80-75-25-АИР63А2-01,АИР63А2,250,874 - 1701,320 - 518,370,65,3500
330,ВР,ВР 80-75-25-АИР63А2-02,АИР63А2,250,803 - 1534,283 - 463,370,71,4300
331,ВР,ВР 80-75-25-АИР63А2-03,АИР63А2,250,956 - 1831,326 - 555,370,69,3500
332,ВР,ВР 80-75-25-АИР63А2-04,АИР63А2,250,811 - 1611,290 - 475,370,64,3800
333,ВР,ВР 80-75-25-АИР63В2,АИР63В2,250,828 - 1746,446 - 700,550,68,3200
334,ВР,ВР 80-75-25-АИР63В2-01,АИР63В2,250,912 - 1877,473 - 761,550,71,3900
335,ВР,ВР 80-75-25-АИР63В2-02,АИР63В2,250,812 - 1651,429 - 651,550,67,3500
336,ВР,ВР 80-75-25-АИР63В2-03,АИР63В2,250,934 - 1885,483 - 771,550,69,4500
337,ВР,ВР 80-75-25-АИР63В2-04,АИР63В2,250,812 - 1730,446 - 686,550,71,3800
338,ВР,ВР 80-75-25-АИР71А2,АИР71А2,250,856 - 1686,536 - 820,750,69,5900
339,ВР,ВР 80-75-25-АИР71А2-01,АИР71А2,250,869 - 1799,561 - 832,750,72,5900
340,ВР,ВР 80-75-25-АИР71А2-02,АИР71А2,250,780 - 1602,514 - 751,750,66,5200
341,ВР,ВР 80-75-25-АИР71А2-03,АИР71А2,250,940 - 1830,611 - 872,750,70,4800
342,ВР,ВР 80-75-25-АИР71А2-04,АИР71А2,250,843 - 1624,534 - 787,750,69,6200
343,ВР,ВР 80-75-315-АИР56А4,АИР56А4,315,768 - 1173,177 - 188,120,59,3200
344,ВР,ВР 80-75-315-АИР56А4-01,АИР56А4,315,794 - 1197,180 - 193,120,61,2800
345,ВР,ВР 80-75-315-АИР56А4-02,АИР56А4,315,718 - 1050,159 - 177,120,62,3400
346,ВР,ВР 80-75-315-АИР56А4-03,АИР56А4,315,816 - 1286,197 - 208,120,58,3200
347,ВР,ВР 80-75-315-АИР56А4-04,АИР56А4,315,762 - 1135,168 - 182,120,60,3400
348,ВР,ВР 80-75-315-АИР56В4,АИР56В4,315,772 - 1854,110 - 181,180,64,3100
349,ВР,ВР 80-75-315-АИР56В4-01,АИР56В4,315,809 - 1965,117 - 196,180,65,2900
350,ВР,ВР 80-75-315-АИР56В4-02,АИР56В4,315,696 - 1740,105 - 175,180,61,3100
351,ВР,ВР 80-75-315-АИР56В4-03,АИР56В4,315,858 - 2060,119 - 203,180,64,3200
352,ВР,ВР 80-75-315-АИР56В4-04,АИР56В4,315,741 - 1747,108 - 178,180,62,2700
353,ВР,ВР 80-75-315-АИР63А4,АИР63А4,315,849 - 1826,172 - 287,250,59,3200
354,ВР,ВР 80-75-315-АИР63А4-01,АИР63А4,315,907 - 1906,175 - 301,250,64,3000
355,ВР,ВР 80-75-315-АИР63А4-02,АИР63А4,315,810 - 1744,162 - 266,250,64,2900
356,ВР,ВР 80-75-315-АИР63А4-03,АИР63А4,315,935 - 1992,186 - 317,250,58,3300
357,ВР,ВР 80-75-315-АИР63А4-04,АИР63А4,315,813 - 1826,163 - 272,250,58,3200
358,ВР,ВР 80-75-315-АИР63В4,АИР63В4,315,918 - 1973,233 - 362,370,71,4000
359,ВР,ВР 80-75-315-АИР63В4-01,АИР63В4,315,968 - 1988,236 - 382,370,72,3700
360,ВР,ВР 80-75-315-АИР63В4-02,АИР63В4,315,851 - 1785,211 - 336,370,71,3200
361,ВР,ВР 80-75-315-АИР63В4-03,АИР63В4,315,1010 - 2145,255 - 408,370,67,4200
362,ВР,ВР 80-75-315-АИР63В4-04,АИР63В4,315,871 - 1854,226 - 359,370,66,4100
363,ВР,ВР 80-75-315-АИР71В2,АИР71В2,315,1609 - 3908,481 - 808,1100,72,7700
364,ВР,ВР 80-75-315-АИР71В2-01,АИР71В2,315,1733 - 3875,490 - 891,1100,70,8200
365,ВР,ВР 80-75-315-АИР71В2-02,АИР71В2,315,1512 - 3431,442 - 785,1100,65,7700
366,ВР,ВР 80-75-315-АИР71В2-03,АИР71В2,315,1841 - 4138,529 - 888,1100,66,7800
367,ВР,ВР 80-75-315-АИР71В2-04,АИР71В2,315,1635 - 3831,461 - 812,1100,66,5800
368,ВР,ВР 80-75-315-5А80МА2,5А80МА2,315,1830 - 3990,661 - 1185,1500,73,9700
369,ВР,ВР 80-75-315-5А80МА2-01,5А80МА2,315,1869 - 4152,728 - 1252,1500,77,7700
370,ВР,ВР 80-75-315-5А80МА2-02,5А80МА2,315,1699 - 3651,643 - 1106,1500,80,7900
371,ВР,ВР 80-75-315-5А80МА2-03,5А80МА2,315,1935 - 4365,759 - 1351,1500,76,7900
372,ВР,ВР 80-75-315-5А80МА2-04,5А80МА2,315,1731 - 3965,678 - 1167,1500,74,9400
373,ВР,ВР 80-75-315-5А80МВ2,5А80МВ2,315,1723 - 3899,897 - 1358,2200,78,10100
374,ВР,ВР 80-75-315-5А80МВ2-01,5А80МВ2,315,1742 - 4157,921 - 1400,2200,76,9500
375,ВР,ВР 80-75-315-5А80МВ2-02,5А80МВ2,315,1576 - 3708,839 - 1273,2200,79,13000
376,ВР,ВР 80-75-315-5А80МВ2-03,5А80МВ2,315,1845 - 4527,943 - 1525,2200,80,10500
377,ВР,ВР 80-75-315-5А80МВ2-04,5А80МВ2,315,1667 - 3979,838 - 1296,2200,79,11700
378,ВР,ВР 80-75-4-АИР63А6,АИР63А6,400,1395 - 2542,101 - 172,180,63,4500
379,ВР,ВР 80-75-4-АИР63А6-01,АИР63А6,400,1476 - 2747,108 - 186,180,63,4600
380,ВР,ВР 80-75-4-АИР63А6-02,АИР63А6,400,1269 - 2365,92 - 161,180,62,4200
381,ВР,ВР 80-75-4-АИР63А6-03,АИР63А6,400,1504 - 2900,109 - 192,180,59,4300
382,ВР,ВР 80-75-4-АИР63А6-04,АИР63А6,400,1352 - 2540,97 - 177,180,65,4100
383,ВР,ВР 80-75-4-АИР63В6,АИР63В6,400,1369 - 2631,122 - 206,250,59,5500
384,ВР,ВР 80-75-4-АИР63В6-01,АИР63В6,400,1511 - 2918,128 - 223,250,62,5700
385,ВР,ВР 80-75-4-АИР63В6-02,АИР63В6,400,1329 - 2543,113 - 200,250,63,4900
386,ВР,ВР 80-75-4-АИР63В6-03,АИР63В6,400,1505 - 2917,134 - 226,250,58,4700
387,ВР,ВР 80-75-4-АИР63В6-04,АИР63В6,400,1378 - 2641,115 - 212,250,59,4100
388,ВР,ВР 80-75-4-АИР71А6,АИР71А6,400,1292 - 2735,179 - 270,370,70,6500
389,ВР,ВР 80-75-4-АИР71А6-01,АИР71А6,400,1330 - 2915,188 - 286,370,72,5500
390,ВР,ВР 80-75-4-АИР71А6-02,АИР71А6,400,1236 - 2553,164 - 253,370,66,5600
391,ВР,ВР 80-75-4-АИР71А6-03,АИР71А6,400,1465 - 2891,194 - 290,370,66,5000
392,ВР,ВР 80-75-4-АИР71А6-04,АИР71А6,400,1307 - 2602,177 - 272,370,68,6600
393,ВР,ВР 80-75-4-АИР71А4,АИР71А4,400,2266 - 4032,307 - 481,550,68,6700
394,ВР,ВР 80-75-4-АИР71А4-01,АИР71А4,400,2356 - 4236,331 - 507,550,66,6900
395,ВР,ВР 80-75-4-АИР71А4-02,АИР71А4,400,2167 - 3743,293 - 456,550,64,5400
396,ВР,ВР 80-75-4-АИР71А4-03,АИР71А4,400,2598 - 4472,339 - 521,550,70,6700
397,ВР,ВР 80-75-4-АИР71А4-04,АИР71А4,400,2190 - 4011,310 - 472,550,68,6400
398,ВР,ВР 80-75-4-АИР71В4,АИР71В4,400,2240 - 4146,292 - 494,750,64,6100
399,ВР,ВР 80-75-4-АИР71В4-01,АИР71В4,400,2298 - 4296,308 - 520,750,69,7700
400,ВР,ВР 80-75-4-АИР71В4-02,АИР71В4,400,2090 - 3922,277 - 455,750,72,6000
401,ВР,ВР 80-75-4-АИР71В4-03,АИР71В4,400,2383 - 4408,323 - 548,750,64,6500
402,ВР,ВР 80-75-4-АИР71В4-04,АИР71В4,400,2141 - 4046,300 - 483,750,66,7900
403,ВР,ВР 80-75-4-АИР80А4,АИР80А4,400,2052 - 4256,323 - 550,1100,72,8400
404,ВР,ВР 80-75-4-АИР80А4-01,АИР80А4,400,2148 - 4409,344 - 574,1100,71,10100
405,ВР,ВР 80-75-4-АИР80А4-02,АИР80А4,400,1828 - 3872,307 - 507,1100,71,7800
406,ВР,ВР 80-75-4-АИР80А4-03,АИР80А4,400,2135 - 4511,358 - 602,1100,69,9400
407,ВР,ВР 80-75-4-АИР80А4-04,АИР80А4,400,1944 - 4091,317 - 551,1100,72,7800
408,ВР,ВР 80-75-4-АИР100S2,АИР100S2,400,2781 - 7478,1300 - 2066,4000,79,21200
409,ВР,ВР 80-75-4-АИР100S2-01,АИР100S2,400,2873 - 8099,1362 - 2149,4000,75,20300
410,ВР,ВР 80-75-4-АИР100S2-02,АИР100S2,400,2583 - 6826,1179 - 1928,4000,70,16400
411,ВР,ВР 80-75-4-АИР100S2-03,АИР100S2,400,3013 - 8167,1399 - 2262,4000,79,22800
412,ВР,ВР 80-75-4-АИР100S2-04,АИР100S2,400,2685 - 7540,1241 - 1997,4000,79,21600
413,ВР,ВР 80-75-4-АИР100L2,АИР100L2,400,4248 - 8219,1252 - 2243,5500,79,23000
414,ВР,ВР 80-75-4-АИР100L2-01,АИР100L2,400,4601 - 8646,1350 - 2334,5500,79,23000
415,ВР,ВР 80-75-4-АИР100L2-02,АИР100L2,400,4095 - 7891,1169 - 2062,5500,74,29300
416,ВР,ВР 80-75-4-АИР100L2-03,АИР100L2,400,4810 - 9281,1393 - 2431,5500,79,24700
417,ВР,ВР 80-75-4-АИР100L2-04,АИР100L2,400,4220 - 8242,1216 - 2192,5500,80,22400
418,ВР,ВР 80-75-4-АИР112М2,АИР112М2,400,4218 - 8906,1794 - 2797,7500,84,28800
419,ВР,ВР 80-75-4-АИР112М2-01,АИР112М2,400,4460 - 9190,1938 - 3042,7500,78,35800
420,ВР,ВР 80-75-4-АИР112М2-02,АИР112М2,400,3910 - 8214,1672 - 2730,7500,84,30800
421,ВР,ВР 80-75-4-АИР112М2-03,АИР112М2,400,4529 - 9919,1963 - 3105,7500,88,35000
422,ВР,ВР 80-75-4-АИР112М2-04,АИР112М2,400,4164 - 8681,1737 - 2741,7500,86,30600
423,ВР,ВР 80-75-5-АИР71В6,АИР71В6,500,2823 - 4219,319 - 346,550,71,9300
424,ВР,ВР 80-75-5-АИР71В6-01,АИР71В6,500,2861 - 4417,326 - 363,550,65,10300
425,ВР,ВР 80-75-5-АИР71В6-02,АИР71В6,500,2564 - 3904,290 - 314,550,66,9200
426,ВР,ВР 80-75-5-АИР71В6-03,АИР71В6,500,2986 - 4568,345 - 371,550,68,11000
427,ВР,ВР 80-75-5-АИР71В6-04,АИР71В6,500,2649 - 4097,310 - 329,550,68,8600
428,ВР,ВР 80-75-5-АИР80А6,АИР80А6,500,2769 - 5629,217 - 335,750,72,9800
429,ВР,ВР 80-75-5-АИР80А6-01,АИР80А6,500,2841 - 5739,225 - 353,750,66,8900
430,ВР,ВР 80-75-5-АИР80А6-02,АИР80А6,500,2565 - 5342,205 - 314,750,71,10900
431,ВР,ВР 80-75-5-АИР80А6-03,АИР80А6,500,2970 - 6331,239 - 370,750,65,11600
432,ВР,ВР 80-75-5-АИР80А6-04,АИР80А6,500,2652 - 5567,205 - 340,750,66,10600
433,ВР,ВР 80-75-5-АИР80В6,АИР80В6,500,3061 - 5848,321 - 447,1100,71,10800
434,ВР,ВР 80-75-5-АИР80В6-01,АИР80В6,500,3197 - 6119,322 - 477,1100,68,12600
435,ВР,ВР 80-75-5-АИР80В6-02,АИР80В6,500,2724 - 5455,302 - 422,1100,72,12400
436,ВР,ВР 80-75-5-АИР80В6-03,АИР80В6,500,3377 - 6132,342 - 506,1100,65,11500
437,ВР,ВР 80-75-5-АИР80В6-04,АИР80В6,500,2981 - 5636,300 - 457,1100,69,13700
438,ВР,ВР 80-75-5-АИР80В4,АИР80В4,500,4518 - 5382,686 - 695,1500,76,15300
439,ВР,ВР 80-75-5-АИР80В4-01,АИР80В4,500,4729 - 5427,700 - 742,1500,72,13400
440,ВР,ВР 80-75-5-АИР80В4-02,АИР80В4,500,4294 - 4783,630 - 646,1500,74,15900
441,ВР,ВР 80-75-5-АИР80В4-03,АИР80В4,500,4891 - 5908,747 - 755,1500,73,11300
442,ВР,ВР 80-75-5-АИР80В4-04,АИР80В4,500,4309 - 5134,667 - 682,1500,74,14500
443,ВР,ВР 80-75-5-АИР90L4,АИР90L4,500,4336 - 5748,492 - 804,2200,72,16200
444,ВР,ВР 80-75-5-АИР90L4-01,АИР90L4,500,4503 - 6052,531 - 844,2200,77,18000
445,ВР,ВР 80-75-5-АИР90L4-02,АИР90L4,500,4071 - 5310,470 - 765,2200,79,18700
446,ВР,ВР 80-75-5-АИР90L4-03,АИР90L4,500,4611 - 6140,536 - 902,2200,79,13900
447,ВР,ВР 80-75-5-АИР90L4-04,АИР90L4,500,4297 - 5621,491 - 780,2200,72,15300
448,ВР,ВР 80-75-5-АИР100S4,АИР100S4,500,4205 - 8304,623 - 864,3000,71,22600
449,ВР,ВР 80-75-5-АИР100S4-01,АИР100S4,500,4396 - 8687,648 - 904,3000,79,16300
450,ВР,ВР 80-75-5-АИР100S4-02,АИР100S4,500,3897 - 8051,573 - 829,3000,70,21400
451,ВР,ВР 80-75-5-АИР100S4-03,АИР100S4,500,4642 - 9095,664 - 959,3000,70,22800
452,ВР,ВР 80-75-5-АИР100S4-04,АИР100S4,500,4010 - 8547,604 - 838,3000,72,21600
453,ВР,ВР 80-75-10-АИР132S6,АИР132S6,1000,13167 - 26228,443 - 577,5500,76,85400
454,ВР,ВР 80-75-10-АИР132S6-01,АИР132S6,1000,13776 - 27099,464 - 594,5500,78,75000
455,ВР,ВР 80-75-10-АИР132S6-02,АИР132S6,1000,12161 - 23627,397 - 555,5500,72,94700
456,ВР,ВР 80-75-10-АИР132S6-03,АИР132S6,1000,13846 - 27748,467 - 620,5500,80,94400
457,ВР,ВР 80-75-10-АИР132S6-04,АИР132S6,1000,12487 - 25295,420 - 559,5500,72,79700
458,ВР,ВР 80-75-10-АИР132М6,АИР132М6,1000,14573 - 28378,550 - 703,7500,84,101700
459,ВР,ВР 80-75-10-АИР132М6-01,АИР132М6,1000,15300 - 30086,552 - 744,7500,87,80100
460,ВР,ВР 80-75-10-АИР132М6-02,АИР132М6,1000,13283 - 26358,509 - 651,7500,84,95200
461,ВР,ВР 80-75-10-АИР132М6-03,АИР132М6,1000,15657 - 31270,581 - 805,7500,82,87600
462,ВР,ВР 80-75-10-АИР132М6-04,АИР132М6,1000,14264 - 27565,538 - 709,7500,83,87700
463,ВР,ВР 80-75-10-АИР160S6,АИР160S6,1000,16361 - 34682,686 - 911,11000,82,93200
464,ВР,ВР 80-75-10-АИР160S6-01,АИР160S6,1000,17252 - 36191,730 - 979,11000,84,114300
465,ВР,ВР 80-75-10-АИР160S6-02,АИР160S6,1000,14475 - 31048,637 - 854,11000,86,104200
466,ВР,ВР 80-75-10-АИР160S6-03,АИР160S6,1000,17512 - 36290,771 - 994,11000,85,100800
467,ВР,ВР 80-75-10-АИР160S6-04,АИР160S6,1000,15422 - 33734,675 - 873,11000,78,114500
468,ВР,ВР 80-75-10-АИР160М6,АИР160М6,1000,18505 - 37127,847 - 1125,15000,81,123100
469,ВР,ВР 80-75-10-АИР160М6-01,АИР160М6,1000,18423 - 38733,905 - 1198,15000,81,109100
470,ВР,ВР 80-75-10-АИР160М6-02,АИР160М6,1000,16617 - 34627,779 - 1040,15000,87,142800
471,ВР,ВР 80-75-10-АИР160М6-03,АИР160М6,1000,19870 - 40650,937 - 1293,15000,78,117100
472,ВР,ВР 80-75-10-АИР160М6-04,АИР160М6,1000,17312 - 36785,856 - 1144,15000,81,141400
473,ВР,ВР 80-75-125-АИР160S6,АИР160S6,1250,22269 - 44721,247 - 689,11000,82,128100
474,ВР,ВР 80-75-125-АИР160S6-01,АИР160S6,1250,23147 - 46851,263 - 724,11000,85,132500
475,ВР,ВР 80-75-125-АИР160S6-02,АИР160S6,1250,20832 - 42408,230 - 661,11000,81,127600
476,ВР,ВР 80-75-125-АИР160S6-03,АИР160S6,1250,24075 - 49686,269 - 757,11000,82,136900
477,ВР,ВР 80-75-125-АИР160S6-04,АИР160S6,1250,21669 - 44682,241 - 678,11000,81,128000
478,ВР,ВР 80-75-125-АИР160М6,АИР160М6,1250,25500 - 51498,688 - 888,15000,82,164400
479,ВР,ВР 80-75-125-АИР160М6-01,АИР160М6,1250,26232 - 54800,712 - 937,15000,83,130600
